LPG (LCU/cylinder),Units,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25
Angola (LPG) ,kwanzas/kg,62.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Argentina (LPG),Argentine Peso per litre,3.6,,,,,,,,,,,,,,14.7198,,,20.2425,20.3,21.13,,,9.99,,,,,24.843,,,,,,,,,,,,,,,,,,,,51.55,,,55.0149,57.4232,25.99,55.1325,,,,,,,77.361,34.51,41.4366,43.3366,56.33425,48.67,49.90666,64.205,51.4333,50.7985,57.5933,66.07,61.0133,61.0133,61.0133,64.85,62.84,76.763333,94.3675,95.5106,84.926666,84.715,92.62,98.10666,136.92934,106.676,157.02,163.1175,125.1466667,132.29,139.083333,146.5766667,161.85,175.6,179.8033333,205.270166,320,586.125,489,523,548,,,,,,,,,,,,
Bangladesh (12kg cylinder),Tk/cylinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,800,800,800,800,800,800,1000,1050,,975,906,842,891,1140,1033,1259,1313,1228,1178,1240,1390,1439,1335,1242,1254,1219,1235,1200,1251,1297,1232,1498,1422,1178,1232,1074,999,1140,1284,1363,1381,1404,1433,1474,1482,1442,1393,1363,1366,1377,1421,1456,1455,1455,1455,1478,1450,
Barbados (LPG 20 lb cylinder),BDS/cylinder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,33,38,37,37,37,37,37,34,36,36,36,36,36,36,36,36,36,36,36,36,36,30,30,30,30,30,30,30,30,30,30,34,33,34,34,,35,37,39,38,,36,38,40,38,38,,,38,38,36,37,35,36,,37,36,35,34,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Belize (100 lbs),BEL$/cylinder,84,84,83,84,84,84,84,82,88,86,87,85,84,86,92,96,98,99,100,100,100,99,100,99,99,99,104,106,116,114,115,115,115,115,115,116,116,115,115,115,115,115,,,,116,116,101,100,100,99,98,99,87,92,92,92,93,97,96,100,105,110,111,116,114,113,116,123,124,137,140,136,130,133,149,150,144,144,144,138,138,136,133,128,125,126,126,123,124,119,114,119,119,119,118,115,117,121,122,120,120,115,118,117,117,117,124,125.33,126,128,,
Belize (rural areas),BEL$/gallon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.96,4.34,4.31,,4.37,4.46,,,4.86,5.12,5.29,,5.09,5.42,5.56,5.67,6.07,6.45,6.43,6.03,6.20,6.53,6.95,6.73,,6.55,,6.21,,5.73,5.70,5.54,5.42,,,,,,,5.41,,,,,,,,,,,,,,5.44,,5.66,,,,
Belize (urban areas),BEL$/gallon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75,,,,,3.59,3.86,4.24,4.21,,4.27,4.36,,,4.76,5.02,5.19,,4.99,5.32,5.46,5.57,5.97,6.35,6.33,5.93,6.10,6.43,6.85,6.63,,6.45,,6.11,,5.63,5.60,5.44,5.32,,,,,,,5.31,,,,,,,,,,,,,,5.34,,5.56,,,,
Benin (LPG 12.5 Kg) -Cotonou ,XOF/cylinder,,,,,,,,,,,,,6250,6250,7040,7500,7500,6791.75,6375,6000,6000,6375,6500,6500,6500,6950,7400,7400,6500,6425,6425,6400,6400,7125,7500,7500,6650,6 250,6 700,6800,6900,6800,6613,5925,5925,5315,5560,6315,6625,6625,6625,6841,6850,6850,6850,6850,6850,6850,6850,6850,6850,6850,6888,6904,6954,6963,6963,6963,7229,7467,7933,7933,8008,7987,8800,9667,9933,10300,10300,10300,10300,10300,10300,10300,10300,10300,10300,10300,10300,10300,10300,10300,10650,10902,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667,10667
Benin (LPG 6kg) -Cotonou ,XOF/cylinder,,,,,,,,,,,,,3000,3000,3487.5,3700,3700,3341.75,3112.5,3000,3000,3225,3300,3300,3300,3500,3700,3700,3200,stop reporting on this fuel on this date,,,,,,3800,,,,,,,,,,,,,,,,,,,,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3588,3688,3925,3900,3938,3904,4350,4733,4942,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5333,5583,5882,5757,5757,5757,5757,5757,5757,5757,5757,5757,5757,5757,5757,5757,5757,5757,5757,5757,5757,5757
Bolivia (10kg LPG bottle) ,Bs/bottle ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50,22.50
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,54.071,53.947,53.941,53.871,53.679,53.384,53.122,52.878,52.774,54.688,55.343,55.607,55.601,55.611,55.488,55.679,57.187,57.206,57.379,57.526,57.601,59.451,63.208,65.186,66.529,67.306,66.803,66.79,66.985,66.957,68.766,68.574,68.345,68.476,68.529,68.971,69.354,69.26,69.107,69.169,69.064,69.294,69.241,69.077,68.823,68.859,68.771,69.113,69.241,69.743,69.907,69.937,69.889,69.536,69.579,69.961,69.981,,71.611,73.206,74.744,76.86,79.69,83.158,85.006,85.374,87.43,91.916,93.427,97.736,100.782,102.444,102.32,102.408,102.516,109.31,113.513,112.86,112.55,112.07,111.62,112.36,109.75,110.17,109.18,108.27,107.89,107.56,107.58,107.29,103.46,101.99,101.09,101.41,101.76,101.38,100.93,100.88,102.09,102.18,102,102,101,103,104,106,107,107,107.41,107.21,107.24,,
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,56.822,56.507,56.507,56.394,58.006,57.435,57.435,57.425,57.316,57.418,58.014,60.277,60.239,60.307,60.268,60.468,59.947,60.431,59.947,60.288,60.185,60.451,65.273,68.759,68.878,69.145,69.937,68.819,68.827,68.85,73.81,72.923,72.957,73.179,73.262,73.256,73.095,73.095,73.095,73.298,73.529,73.452,73.476,73.671,73.298,73.548,73.371,73.583,73.054,71.476,70.515,70.521,70.711,70.64,70.485,70.968,71.069,,69.549,71.274,72.545,74.506,77.108,79.932,80.554,80.486,82.307,86.944,88.782,93.08,95.549,97.659,98.24,98.255,97.838,104.189,107.742,107.45,107.91,106.09,104.14,105.03,103.15,102.64,101.24,102.38,102.04,101.72,101.32,100.99,96.04,94.25,92.07,93.13,95,94,93.64,93.24,96.02,95.80,96,95,95,97,97,101,101,101,100.60,101.35,101.61,,
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,50.760,50.432,50.336,50.233,49.907,49.672,49.191,49.158,49.061,50.653,51.7,52.283,52.771,52.745,52.683,52.83,54.068,53.96,54.211,54.335,53.706,57.286,60.566,60.913,61.879,62.27,61.394,61.78,62.456,62.309,62.521,62.547,63.076,63.049,63.455,64.265,64.88,65.03,64.67,64.825,64.758,64.659,64.331,64.013,64.08,64.087,64.084,63.873,63.811,63.431,63.29,63.125,63.261,62.83,62.724,62.81,62.943,,65.719,65.389,67.018,68.887,70.376,73.387,75.809,76.171,78.415,83.434,84.59,88.968,91.666,92.647,92.872,92.451,91.717,98.628,101.746,101.06,101.06,100.7,100.37,100.81,97.61,97.89,95.94,95.23,95.44,95.85,95.33,96.61,93.75,92.99,92.57,93.38,94,93,92.39,92.10,93.06,93.17,92,93,93,94,94,97,97,97,96.14,95.86,96.03,,
Burkina Faso  (12.5kg cylinder),XOF/cylinder,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
Cabo Verde (per kg), ECV/Kg,,,,,,,,,,,,118,122,122,132,132,134,122,116,112,116,126,130,132,134,134,130,123,125,127,133,133,134,136,144,144,124,118,122,130,134,129,125,117,119,107,119,128,132,129,129,138,111,101,109,115,117,112,118,122,118,127,129,135,135,127,124,134,144,147,153,169,168,158,179,177,177,177,177,168,146,146,158,165,158,154,154,163,154,141,126,118,124,140,151,147,144,145,143,147,149,144,133,136,144,142,144,153,150,152,163,163,146
Cameroon (12.5kg cylinder),XAF/cylinder,,,,,,,,,,,,,,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500
Central African Republic (36kg cylinder),XAF/cylinder,,,,,,,,,,,,,,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,
